"Season","Season type","Mode","Referee","Games","Total fouls","Shooting","Personal","Loose ball","Personal take","Offensive charge","Offensive","Kicked ball","Technical","Defensive goaltending","Shooting block","Defensive 3 seconds","Delay of game","Personal block","Flagrant 1","Away from play","Double technical","Clear path","Double personal","Inbound foul","Delay technical","Lane violation","Jump ball violation","Flagrant 2","Hanging technical","Unsportsmanlike technical","Taunting technical","Excess timeout technical","Double lane","Too many players technical"
"2019-20","Playoffs","Total","Ben Taylor",4,70,31,23,4,4,1,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Bill Kennedy",9,124,60,39,11,0,5,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Brian Forte",2,25,14,6,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Courtney Kirkland",7,108,42,36,16,5,0,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Curtis Blair",5,64,35,22,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","David Guthrie",12,183,81,60,8,10,10,1,4,3,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Dedric Taylor",2,26,10,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Derrick Collins",3,41,23,12,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Ed Malloy",5,77,38,27,4,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Eric Lewis",13,196,72,72,8,14,9,0,5,6,2,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Gediminas Petraitis",2,22,9,9,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","James Capers Jr.",15,209,79,74,21,6,12,0,8,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"2019-20","Playoffs","Total","James Williams",6,93,47,26,4,2,2,2,3,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","John Goble",12,191,71,79,12,5,5,3,5,6,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Josh Tiven",12,155,88,34,13,1,7,1,4,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Kane Fitzgerald",14,214,87,74,14,10,8,2,4,6,4,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Kevin Cutler",2,33,17,10,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Kevin Scott",10,130,59,42,7,4,6,1,2,2,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Leon Wood",2,32,13,12,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Marc Davis",15,210,104,63,11,4,10,0,3,3,4,0,0,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Mark Ayotte",2,30,13,13,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Michael Smith",2,22,11,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Pat Fraher",10,118,72,26,4,3,4,0,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Rodney Mott",7,112,47,40,11,2,4,0,1,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Scott Foster",14,221,111,60,15,11,7,5,2,1,3,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"2019-20","Playoffs","Total","Sean Corbin",6,79,37,28,2,6,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Sean Wright",8,137,65,47,8,2,4,1,3,2,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Tony Brothers",13,171,72,54,10,7,11,1,4,1,2,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Tony Brown",10,159,75,51,10,4,4,1,8,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Tre Maddox",8,109,57,26,8,2,4,3,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Tyler Ford",5,74,38,23,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Playoffs","Total","Zach Zarba",12,174,81,57,15,5,9,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
