"Season","Season type","Mode","Referee","Games","Total fouls","Shooting","Personal","Loose ball","Personal take","Offensive charge","Offensive","Kicked ball","Technical","Defensive goaltending","Shooting block","Defensive 3 seconds","Delay of game","Personal block","Flagrant 1","Away from play","Double technical","Clear path","Double personal","Inbound foul","Delay technical","Lane violation","Jump ball violation","Flagrant 2","Hanging technical","Unsportsmanlike technical","Taunting technical","Excess timeout technical","Double lane","Too many players technical"
"2019-20","Regular Season","Total","Aaron Smith",47,567,267,179,32,24,18,5,11,12,7,0,3,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Andy Nagy",13,137,64,45,7,6,3,2,2,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Ashley Moyer-Gleich",30,352,183,110,15,13,11,3,6,4,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Ben Taylor",56,849,339,320,79,29,16,6,16,19,4,0,7,5,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Bennie Adams",2,26,7,9,5,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Bill Kennedy",32,415,199,132,26,13,9,2,6,8,5,0,9,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Bill Spooner",3,28,14,6,2,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Brandon Adair",36,364,174,130,16,19,9,1,4,2,4,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Brent Barnaky",54,663,354,199,29,25,25,2,9,3,6,0,2,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Brett Nansel",30,443,232,139,18,16,12,6,3,2,5,0,1,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Brian Forte",56,733,363,229,32,17,25,12,10,21,2,0,4,10,0,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0
"2019-20","Regular Season","Total","C.J. Washington",36,560,284,159,39,24,12,7,7,12,3,0,4,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Courtney Kirkland",52,776,358,247,65,24,24,11,18,7,6,0,6,4,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Curtis Blair",53,697,339,235,40,19,28,6,7,9,4,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","David Guthrie",53,826,356,288,30,31,21,5,16,28,15,0,10,16,0,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Dedric Taylor",55,772,380,242,42,38,21,3,12,16,5,0,1,8,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Derek Richardson",39,508,218,198,28,14,16,3,2,4,4,0,11,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Derrick Collins",56,712,335,236,41,30,15,4,18,10,5,0,9,4,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Ed Malloy",53,702,346,226,23,28,24,1,18,13,10,0,2,4,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"2019-20","Regular Season","Total","Eric Dalen",44,564,331,147,16,15,14,2,10,4,8,0,3,7,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Eric Lewis",54,807,341,309,46,24,19,4,14,22,12,0,2,4,0,2,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0
"2019-20","Regular Season","Total","Evan Scott",29,349,176,92,25,10,11,4,9,14,1,0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2019-20","Regular Season","Total","Gediminas Petraitis",56,725,325,234,44,31,19,5,17,22,11,0,3,8,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Haywoode Workman",14,182,86,58,11,7,5,1,2,3,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","J.B. DeRosa",49,569,250,199,26,31,17,2,19,9,4,0,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","J.T. Orr",53,726,310,228,57,25,30,8,19,13,10,0,12,5,0,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0
"2019-20","Regular Season","Total","Jacyn Goble",48,666,317,219,35,23,26,4,10,17,4,0,0,4,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
